2017-06-19 03:46:37 status half-configured base-files:armhf 9.4ubuntu4
2017-06-19 03:46:37 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:37 status half-installed base-files:armhf 9.4ubuntu4
2017-06-19 03:46:37 status half-installed base-files:armhf 9.4ubuntu4
2017-06-19 03:46:37 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:37 status unpacked base-files:armhf 9.4ubuntu4
2017-06-19 03:46:38 upgrade base-passwd:armhf 3.5.39 3.5.39
2017-06-19 03:46:38 status half-configured base-passwd:armhf 3.5.39
2017-06-19 03:46:38 status unpacked base-passwd:armhf 3.5.39
2017-06-19 03:46:38 status half-installed base-passwd:armhf 3.5.39
2017-06-19 03:46:38 status half-installed base-passwd:armhf 3.5.39
2017-06-19 03:46:38 status unpacked base-passwd:armhf 3.5.39
2017-06-19 03:46:38 status unpacked base-passwd:armhf 3.5.39
2017-06-19 03:46:38 install bash:armhf <none> 4.3-14ubuntu1
2017-06-19 03:46:38 status half-installed bash:armhf 4.3-14ubuntu1
2017-06-19 03:46:39 status unpacked bash:armhf 4.3-14ubuntu1
2017-06-19 03:46:39 status unpacked bash:armhf 4.3-14ubuntu1
2017-06-19 03:46:39 install bsdutils:armhf <none> 1:2.27.1-6ubuntu3
2017-06-19 03:46:39 status half-installed bsdutils:armhf 1:2.27.1-6ubuntu3
2017-06-19 03:46:39 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2017-06-19 03:46:39 status unpacked bsdutils:armhf 1:2.27.1-6ubuntu3
2017-06-19 03:46:39 install coreutils:armhf <none> 8.25-2ubuntu2
2017-06-19 03:46:39 status half-installed coreutils:armhf 8.25-2ubuntu2
2017-06-19 03:46:40 status unpacked coreutils:armhf 8.25-2ubuntu2
2017-06-19 03:46:40 status unpacked coreutils:armhf 8.25-2ubuntu2
2017-06-19 03:46:40 install dash:armhf <none> 0.5.8-2.1ubuntu2
2017-06-19 03:46:40 status half-installed dash:armhf 0.5.8-2.1ubuntu2
2017-06-19 03:46:41 status unpacked dash:armhf 0.5.8-2.1ubuntu2
2017-06-19 03:46:41 status unpacked dash:armhf 0.5.8-2.1ubuntu2
2017-06-19 03:46:41 upgrade debconf:all 1.5.58ubuntu1 1.5.58ubuntu1
2017-06-19 03:46:41 status half-configured debconf:all 1.5.58ubuntu1
2017-06-19 03:46:41 status unpacked debconf:all 1.5.58ubuntu1
2017-06-19 03:46:41 status half-installed debconf:all 1.5.58ubuntu1
2017-06-19 03:46:42 status half-installed debconf:all 1.5.58ubuntu1
2017-06-19 03:46:42 status unpacked debconf:all 1.5.58ubuntu1
2017-06-19 03:46:42 status unpacked debconf:all 1.5.58ubuntu1
2017-06-19 03:46:42 install debianutils:armhf <none> 4.7
2017-06-19 03:46:42 status half-installed debianutils:armhf 4.7
2017-06-19 03:46:42 status unpacked debianutils:armhf 4.7
2017-06-19 03:46:42 status unpacked debianutils:armhf 4.7
2017-06-19 03:46:42 install diffutils:armhf <none> 1:3.3-3
2017-06-19 03:46:42 status half-installed diffutils:armhf 1:3.3-3
2017-06-19 03:46:43 status unpacked diffutils:armhf 1:3.3-3
2017-06-19 03:46:43 status unpacked diffutils:armhf 1:3.3-3
2017-06-19 03:46:43 upgrade dpkg:armhf 1.18.4ubuntu1 1.18.4ubuntu1
2017-06-19 03:46:43 status half-configured dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:43 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:43 status half-installed dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:44 status half-installed dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:44 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:44 status unpacked dpkg:armhf 1.18.4ubuntu1
2017-06-19 03:46:44 install e2fslibs:armhf <none> 1.42.13-1ubuntu1
2017-06-19 03:46:44 status half-installed e2fslibs:armhf 1.42.13-1ubuntu1
2017-06-19 03:46:44 status unpacked e2fslibs:armhf 1.42.13-1ubuntu1
2017-06-19 03:46:44 status unpacked e2fslibs:armhf 1.42.13-1ubuntu1
2017-06-19 03:46:45 install e2fsprogs:armhf <none> 1.42.13-1ubuntu1
2017-06-19 03:46:45 status half-installed e2fsprogs:armhf 1.42.13-1ubuntu1
2017-06-19 03:46:45 status unpacked e2fsprogs:armhf 1.42.13-1ubuntu1
2017-06-19 03:46:45 status unpacked e2fsprogs:armhf 1.42.13-1ubuntu1
2017-06-19 03:46:45 install findutils:armhf <none> 4.6.0+git+20160126-2
2017-06-19 03:46:45 status half-installed findutils:armhf 4.6.0+git+20160126-2
2017-06-19 03:46:46 status unpacked findutils:armhf 4.6.0+git+20160126-2
2017-06-19 03:46:46 status unpacked findutils:armhf 4.6.0+git+20160126-2
2017-06-19 03:46:46 install gcc-6-base:armhf <none> 6.0.1-0ubuntu1
2017-06-19 03:46:46 status half-installed gcc-6-base:armhf 6.0.1-0ubuntu1
2017-06-19 03:46:46 status unpacked gcc-6-base:armhf 6.0.1-0ubuntu1
2017-06-19 03:46:46 status unpacked gcc-6-base:armhf 6.0.1-0ubuntu1
2017-06-19 03:46:46 install grep:armhf <none> 2.24-1
2017-06-19 03:46:46 status half-installed grep:armhf 2.24-1
2017-06-19 03:46:46 status unpacked grep:armhf 2.24-1
2017-06-19 03:46:46 status unpacked grep:armhf 2.24-1
2017-06-19 03:46:46 install gzip:armhf <none> 1.6-4ubuntu1
